"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality","Record number"
"7f0d219e-86a2-4f15-b894-f11bdf4355b4","R00130","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus","Common Death Adder","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr341","Australian National Wildlife Collection provider for OZCAM","in6","Commonwealth Scientific and Industrial Research Organisation","co16","Australian National Wildlife Collection","CC-BY","ANWC","Reptiles","CAIRNS","-16.9167","145.7667","EPSG:4326","-16.9167","145.7667","","2000.0","Australia","Queensland","Cairns (R)","","Wet Tropics","","","","","","","1970","12","6","1970-12-06","06DEC1970","PreservedSpecimen","PreservedSpecimen","present","not recorded","body in spirit","","true","true",""
"7d65f07f-352c-4839-8922-6cc50607b40e","ABTC55497.5","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co166","South Australian Museum Australian Biological Tissue Collection","CC-BY","SAMA","AustralianBiologicalTissueCollection","","-34.53","136.28","","-34.53","136.28","","","Australia","South Australia","Unincorporated SA","","Eyre Yorke Block","","","","","","","1983","12","07","1983-12-07","","MaterialSample","MaterialSample","present","","","","true","true",""
"7c72707b-ff74-47b5-82cc-59c22e52449b","R29846","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr343","Northern Territory Museum and Art Gallery provider for OZCAM","in17","Museum and Art Gallery of the Northern Territory","co140","Museum and Art Gallery of the Northern Territory Reptile Collection","CC-BY 3.0 (Au)","MAGNT","Reptile","Daly River Road, Daly River Region","-13.477","131.127","not recorded","-13.477","131.127","","","Australia","Northern Territory","Unincorporated NT","","Daly Basin","","","","","","","2006","12","19","2006-12-19","","Preserved Specimen","PreservedSpecimen","present","","whole animal (ETOH)","","true","true",""
"7a9a1a1b-658e-40e8-a244-c0eae354bfae","R.59064","urn:lsid:biodiversity.org.au:afd.taxon:87d998a1-39f3-4d88-9282-4fd1bea25ba8","Acanthophis praelongus Ramsay, 1877","Northern Death Adder","Acanthophis praelongus","species","Northern Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis praelongus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co10","Australian Museum Herpetology Collection","CC-BY","AM","Herpetology","","-10.116","142.116","","-10.116","142.116","","10000.0","Australia","Queensland","Torres Strait Island (R)","","Cape York Peninsula","","","","","","M.Heatwole & C.Belmont","1976","12","19","1976-12-19","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true",""
"73e2aba2-5a6f-4010-98ce-2f83d2eb8c7a","J80680","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus","Common Death Adder","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr344","Queensland Museum provider for OZCAM","in15","Queensland Museum","co153","Queensland Museum Amphibians and Reptiles","CC-BY","QM","Herpetology","Dilli Village, Fraser Island","-25.6","153.083333","AGD66","-25.6","153.1","","1000.0","Australia","Queensland","","Central Eastern Shelf Transition","","","","","","","","2002","12","30","2002-12-30","","Preserved specimen","PreservedSpecimen","present","","Spirit","","true","true",""
"6fbc7211-d51a-4eb7-9fe2-55e207a83490","R140765","urn:lsid:biodiversity.org.au:afd.taxon:7fc12454-a906-4593-aa20-b5dc18c8849c","","","Acanthophis wellsei","species","Pilbara Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis wellsei","","dr348","Western Australian Museum provider for OZCAM","in34","Western Australian Museum","co122","Western Australian Museum Herpetology Collection","CC-BY","WAM","REPT","CA 50KM NW  NEWMAN","-23.128611","119.271944","","-23.128611","119.271944","","50000.0","Australia","Western Australia","East Pilbara (S)","","Pilbara","","","","","1","BUSH,B. & MARYAN,B.","1999","12","01","1999-12-01","01/12/1999","PreservedSpecimen","PreservedSpecimen","present","","Wet","","true","true",""
"6bdec3b2-4624-4525-b38a-3d923a2601b1","R08196","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr343","Northern Territory Museum and Art Gallery provider for OZCAM","in17","Museum and Art Gallery of the Northern Territory","co140","Museum and Art Gallery of the Northern Territory Reptile Collection","CC-BY 3.0 (Au)","MAGNT","Reptile","Nourlangie","-12.767","132.65","not recorded","-12.767","132.65","","","Australia","Northern Territory","West Arnhem (S)","","Pine Creek","","","","","","","1976","12","10","1976-12-10","","Preserved Specimen","PreservedSpecimen","present","","whole animal (ETOH)","","true","true",""
"6628dea0-a546-4240-9006-395db8a12a53","R.4610","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","Common Death Adder","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co10","Australian Museum Herpetology Collection","CC-BY","AM","Herpetology","","-33.966","151.250","","-33.966","151.25","","10000.0","Australia","New South Wales","Randwick (C)","","Sydney Basin","","","","","","Council Zool.Society","1909","12","13","1909-12-13","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true",""
"60478e84-4c27-4cb1-b946-48a329b5d9e1","ABTC55496.5","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co166","South Australian Museum Australian Biological Tissue Collection","CC-BY","SAMA","AustralianBiologicalTissueCollection","","-34.53","136.28","","-34.53","136.28","","","Australia","South Australia","Unincorporated SA","","Eyre Yorke Block","","","","","","","1983","12","07","1983-12-07","","MaterialSample","MaterialSample","present","","","","true","true",""
"5f5745fe-f4d6-4acd-bb9b-bd64606daa70","R27462","urn:lsid:biodiversity.org.au:afd.taxon:94201718-efa1-4d00-b1c7-0b0fdee9ba24","Acanthophis hawkei","","Acanthophis hawkei","species","Barkly Tableland Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis hawkei","","dr343","Northern Territory Museum and Art Gallery provider for OZCAM","in17","Museum and Art Gallery of the Northern Territory","co140","Museum and Art Gallery of the Northern Territory Reptile Collection","CC-BY 3.0 (Au)","MAGNT","Reptile","Adelaide River Floodplain, Outer Darwin","-12.633","131.467","not recorded","-12.633","131.467","","","Australia","Northern Territory","Unincorporated NT","","Darwin Coastal","","","","","","","2004","12","8","2004-12-08","","Preserved Specimen","PreservedSpecimen","present","","whole animal (ETOH)","","true","true",""
"5c5966ad-5fcf-48cf-8599-d96ed8fab00b","R25420","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co125","South Australian Museum Herpetology Collection","CC-BY","SAMA","Herpetology","","-34.53","136.28","","-34.53","136.28","","","Australia","South Australia","Unincorporated SA","","Eyre Yorke Block","","","","","","NO DATA","1983","12","07","1983-12-07","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true",""
"5c505c8b-e409-48a6-b3d4-a8b035e2a819","ABTC55495.1","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co166","South Australian Museum Australian Biological Tissue Collection","CC-BY","SAMA","AustralianBiologicalTissueCollection","","-34.53","136.28","","-34.53","136.28","","","Australia","South Australia","Unincorporated SA","","Eyre Yorke Block","","","","","","","1983","12","07","1983-12-07","","MaterialSample","MaterialSample","present","","","","true","true",""
"5bd9c5a1-df78-45ac-bf8d-dcdf43ce8714","ABTC55517.1","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co166","South Australian Museum Australian Biological Tissue Collection","CC-BY","SAMA","AustralianBiologicalTissueCollection","","-34.53","136.28","","-34.53","136.28","","","Australia","South Australia","Unincorporated SA","","Eyre Yorke Block","","","","","","","1986","12","05","1986-12-05","","MaterialSample","MaterialSample","present","","","","true","true",""
